Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Measure-HIVIND16.json	3385	7	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	31	45	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND18.json	3935	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	46	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND19.json	3418	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	47	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND2.json	3900	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	46	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND20.json	3309	7	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	30	44	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND21.json	3355	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	32	49	0	0	0	0	1	0	0
fsh-generated/resources/Measure-HIVIND22.json	3941	7	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	25	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND24.json	3765	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	38	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND25.json	3750	7	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	25	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND27.json	3938	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	26	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND28.json	3804	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	47	0	0	0	0	1	0	0
fsh-generated/resources/Measure-HIVIND29.json	3838	7	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	32	29	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND3.json	3993	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	34	25	0	0	0	0	0	0	0
